Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,1.0,1.0,Alberton Primary School,Primary,O,21 Thomson Street,,Alberton,VIC,3971.0,21 Thomson Street,,ALBERTON,VIC,3971.0,03 5183 2412,681.0,Wellington (S),146.6666,-38.61771
Government,1.0,3.0,Allansford and District Primary School,Primary,O,Frank Street,,Allansford,VIC,3277.0,Frank Street,,ALLANSFORD,VIC,3277.0,03 5565 1382,673.0,Warrnambool (C),142.59039,-38.38628
Government,1.0,4.0,Avoca Primary School,Primary,O,118 Barnett Street,,Avoca,VIC,3467.0,P O Box 12,,AVOCA,VIC,3467.0,03 5465 3176,599.0,Pyrenees (S),143.47565,-37.0845
Government,1.0,8.0,Avenel Primary School,Primary,O,40 Anderson Street,,Avenel,VIC,3664.0,40 Anderson Street,,AVENEL,VIC,3664.0,03 5796 2264,643.0,Strathbogie (S),145.23472,-36.90137
Government,1.0,12.0,Warrandyte Primary School,Primary,O,5-11 Forbes Street,,Warrandyte,VIC,3113.0,5-11 Forbes Street,,WARRANDYTE,VIC,3113.0,03 9844 3537,421.0,Manningham (C),145.21398,-37.74268
Government,1.0,26.0,Belmont Primary School,Primary,O,51 Mt Pleasant Road,,Belmont,VIC,3216.0,P O Box 471,,BELMONT,VIC,3216.0,03 5243 2972,275.0,Greater Geelong (C),144.3421,-38.17067
Government,1.0,28.0,Bacchus Marsh Primary School,Primary,O,56-62 Lerderderg Street,,Bacchus Marsh,VIC,3340.0,P O Box 334,,Bacchus Marsh,VIC,3340.0,03 5367 2745,515.0,Moorabool (S),144.44312,-37.67303
Government,1.0,33.0,Ballarat Primary School (Dana Street),Primary,O,401 Dana Street,,Ballarat,VIC,3350.0,401 Dana Street,,BALLARAT,VIC,3350.0,03 5332 1301,57.0,Ballarat (C),143.85394,-37.56401
Government,1.0,37.0,Wodonga Primary School,Primary,O,Brockley Street,,Wodonga,VIC,3690.0,PO Box 329,,WODONGA,VIC,3689.0,02 6048 0300,717.0,Wodonga (C),146.88982,-36.12921
Government,1.0,40.0,Berwick Primary School,Primary,O,37 Fairholme Boulevard,,Berwick,VIC,3806.0,37 Fairholme Boulevard,,Berwick,VIC,3806.0,03 9707 1026,161.0,Casey (C),145.35442,-38.04409
Government,1.0,60.0,Beaufort Primary School,Primary,O,2/37 Park Road,,Beaufort,VIC,3373.0,P O Box 18,,BEAUFORT,VIC,3373.0,03 5349 2490,599.0,Pyrenees (S),143.38172,-37.43852
Government,1.0,84.0,Cheltenham Primary School,Primary,O,231 Charman Road,,Cheltenham,VIC,3192.0,231 Charman Road,,CHELTENHAM,VIC,3192.0,03 8585 3200,91.0,Bayside (C),145.05463,-37.96861
Government,1.0,105.0,Cudgee Primary School,Primary,O,3 Hallowells Road,,Cudgee,VIC,3265.0,3 Hallowells Road,,CUDGEE,VIC,3265.0,03 5567 6346,549.0,Moyne (S),142.65084,-38.34794
Government,1.0,113.0,Newport Lakes Primary School,Primary,O,Elizabeth Street,,Newport,VIC,3015.0,Elizabeth Street,,NEWPORT,VIC,3015.0,03 9391 8942,311.0,Hobsons Bay (C),144.87834,-37.83842
Government,1.0,116.0,Cavendish Primary School,Primary,O,8-10 Barker Street,,Cavendish,VIC,3314.0,PO Box 28,,CAVENDISH,VIC,3314.0,03 5574 2282,626.0,Southern Grampians (S),142.03989,-37.53087
Government,1.0,117.0,Colac Primary School,Primary,O,53-65 Murray Street East,,Colac,VIC,3250.0,P O Box 325,,COLAC,VIC,3250.0,03 5231 2560,175.0,Colac-Otway (S),143.59834,-38.33722
Government,1.0,119.0,Castlemaine Primary School,Primary,O,Cnr Mostyn & Urquhart Street,,Castlemaine,VIC,3450.0,P O Box 448,,CASTLEMAINE,VIC,3450.0,03 5472 1452,543.0,Mount Alexander (S),144.22233,-37.0666
Government,1.0,120.0,Campbells Creek Primary School,Primary,O,127 Main Road,,Campbells Creek,VIC,3451.0,127 Main Road,,CAMPBELLS CREEK,VIC,3451.0,03 5472 2180,543.0,Mount Alexander (S),144.20466,-37.09293
Government,1.0,122.0,Creswick Primary School,Primary,O,67 Napier Street,,Creswick,VIC,3363.0,P O Box 67,,CRESWICK,VIC,3363.0,03 5345 2044,291.0,Hepburn (S),143.89156,-37.42411
Government,1.0,123.0,California Gully Primary School,Primary,O,4-14 Staley Street,,California Gully,VIC,3556.0,P O Box 88,,CALIFORNIA GULLY,VIC,3556.0,03 5446 8393,262.0,Greater Bendigo (C),144.24986,-36.73321
Government,1.0,128.0,St Andrews Primary School,Primary,O,Caledonia Street,,St Andrews,VIC,3761.0,Caledonia Street,,ST ANDREWS,VIC,3761.0,03 9710 1255,571.0,Nillumbik (S),145.26983,-37.60232
Government,1.0,182.0,Warrnambool West Primary School,Primary,O,35 Hoddle Street,,Warrnambool,VIC,3280.0,35 Hoddle Street,,WARRNAMBOOL,VIC,3280.0,03 5561 3161,673.0,Warrnambool (C),142.4668,-38.36634
Government,1.0,184.0,Dromana Primary School,Primary,O,Mcculloch Street,,Dromana,VIC,3936.0,P O Box 166,,DROMANA,VIC,3936.0,03 5987 2367,534.0,Mornington Peninsula (S),144.95965,-38.33964
Government,1.0,197.0,Doncaster Primary School,Primary,O,2 - 12 Council Street,,Doncaster,VIC,3108.0,P O Box 404,,"Westfield, Doncaster",VIC,3108.0,03 9848 1122,421.0,Manningham (C),145.12967,-37.7868
Government,1.0,208.0,Echuca Primary School,Primary,O,413-431 High Street,,Echuca,VIC,3564.0,413-431 High Street,,ECHUCA,VIC,3564.0,03 5483 0700,137.0,Campaspe (S),144.74746,-36.1282
Government,1.0,209.0,Eltham Primary School,Primary,O,Dalton Street,,Eltham,VIC,3095.0,DALTON STREET,,ELTHAM,VIC,3095.0,03 9439 9374,571.0,Nillumbik (S),145.1478,-37.72498
Government,1.0,210.0,Eaglehawk Primary School,Primary,O,Church St,,Eaglehawk,VIC,3556.0,P O Box 77,,EAGLEHAWK,VIC,3556.0,03 5446 3722,262.0,Greater Bendigo (C),144.25426,-36.72058
Government,1.0,220.0,Elphinstone Primary School,Primary,O,26 Wright Street,,Elphinstone,VIC,3448.0,26 Wright Street,,ELPHINSTONE,VIC,3448.0,03 5473 3285,543.0,Mount Alexander (S),144.3329,-37.105
Government,1.0,244.0,Hallam Primary School,Primary,O,24 Harmer Road,,Hallam,VIC,3803.0,24 Harmer Road,,HALLAM,VIC,3803.0,03 9703 1536,161.0,Casey (C),145.25824,-38.00176
Government,1.0,250.0,Flemington Primary School,Primary,O,Cnr Mt Alexander Rd & Padman Lane,,Flemington,VIC,3031.0,P O Box 7,,FLEMINGTON,VIC,3031.0,03 9376 7137,506.0,Moonee Valley (C),144.93392,-37.78067
Government,1.0,253.0,Footscray Primary School,Primary,O,Cnr Geelong Road & Barkly St,,Footscray,VIC,3011.0,P O Box 6019,,WEST FOOTSCRAY,VIC,3012.0,03 9687 1910,433.0,Maribyrnong (C),144.89267,-37.79838
Government,1.0,262.0,Gisborne Primary School,Primary,O,41 Prince Street,,Gisborne,VIC,3437.0,41 Prince Street,,GISBORNE,VIC,3437.0,03 5428 2022,413.0,Macedon Ranges (S),144.58844,-37.49086
Government,1.0,267.0,Sandringham Primary School,Primary,O,31 Bamfield Street,,Sandringham,VIC,3191.0,31 Bamfield Street,,SANDRINGHAM,VIC,3191.0,03 9598 1488,91.0,Bayside (C),145.00947,-37.94704
Government,1.0,275.0,Wandiligong Primary School,Primary,O,119 School Road,,Wandiligong,VIC,3744.0,P O Box  591,,BRIGHT,VIC,3741.0,03 5755 1026,11.0,Alpine (S),146.98292,-36.76886
Government,1.0,283.0,Grovedale Primary School,Primary,O,143 Bailey Street,,Grovedale,VIC,3216.0,143 Bailey Street,,GROVEDALE,VIC,3216.0,03 5243 3902,275.0,Greater Geelong (C),144.34776,-38.19764
Government,1.0,293.0,Hawthorn West Primary School,Primary,O,2A Wood Street,,Hawthorn,VIC,3122.0,2A Wood Street,,HAWTHORN,VIC,3122.0,03 9818 2233,111.0,Boroondara (C),145.01838,-37.82011
Government,1.0,294.0,Heidelberg Primary School,Primary,O,120 Cape Street,,Heidelberg,VIC,3084.0,P O Box 330,,HEIDELBERG,VIC,3084.0,03 9457 2259,66.0,Banyule (C),145.0678,-37.7547
Government,1.0,295.0,Hamilton (Gray Street) Primary School,Primary,O,42 Gray Street,,Hamilton,VIC,3300.0,P O Box 203,,HAMILTON,VIC,3300.0,03 5571 9295,626.0,Southern Grampians (S),142.02138,-37.74491
Government,1.0,300.0,Heathcote Primary School,Primary,O,31 Herriot Street,,Heathcote,VIC,3523.0,P O Box 631,,HEATHCOTE,VIC,3523.0,03 5433 3090,262.0,Greater Bendigo (C),144.70685,-36.92401
Government,1.0,304.0,Highton Primary School,Primary,O,218 Roslyn Road,,Highton,VIC,3216.0,P O Box 6093,,HIGHTON,VIC,3216.0,03 5243 1494,275.0,Greater Geelong (C),144.31708,-38.17216
Government,1.0,306.0,Huntly Primary School,Primary,O,101 Brunel Street,,Huntly,VIC,3551.0,101 Brunel Street,,HUNTLY,VIC,3551.0,03 5448 8866,262.0,Greater Bendigo (C),144.3344,-36.66254
Government,1.0,319.0,Bellbrae Primary School,Primary,O,50 School Road,,Bellbrae,VIC,3228.0,50 School Road,,BELLBRAE,VIC,3228.0,03 5261 2660,649.0,Surf Coast (S),144.263,-38.33364
Government,1.0,327.0,Chiltern Primary School,Primary,O,91-101 Albert Road,,Chiltern,VIC,3683.0,P O Box 30,,CHILTERN,VIC,3683.0,03 5726 1421,335.0,Indigo (S),146.6066,-36.14707
Government,1.0,343.0,Kyneton Primary School,Primary,O,49-79 Edgecombe Street,,Kyneton,VIC,3444.0,P O Box 192,,KYNETON,VIC,3444.0,03 5422 1855,413.0,Macedon Ranges (S),144.46269,-37.24889
Government,1.0,366.0,Romsey Primary School,Primary,O,2-56 Station Street,,Romsey,VIC,3434.0,Station Street,,ROMSEY,VIC,3434.0,03 5429 5099,413.0,Macedon Ranges (S),144.74538,-37.35418
Government,1.0,379.0,Shelford Primary School,Primary,O,1717 Shelford-Bannockburn Road,,Shelford,VIC,3329.0,1717 Shelford-Bannockburn Road,,SHELFORD,VIC,3329.0,03 5281 3291,249.0,Golden Plains (S),143.98214,-38.01399
Government,1.0,385.0,Lockwood South Primary School,Primary,O,710 Calder Alternative Highway,,Lockwood South,VIC,3551.0,710 Calder Alternative Highway,,LOCKWOOD SOUTH,VIC,3551.0,03 5435 3293,262.0,Greater Bendigo (C),144.15675,-36.8416
Government,1.0,400.0,Marong Primary School,Primary,O,2 Leslie Street,,Marong,VIC,3515.0,P O Box 303,,MARONG,VIC,3515.0,03 5435 2288,262.0,Greater Bendigo (C),144.13537,-36.73568
Government,1.0,415.0,Mount Macedon Primary School,Primary,O,641 Mount Macedon Road,,Mount Macedon,VIC,3441.0,641 Mount Macedon Road,,MOUNT MACEDON,VIC,3441.0,03 5426 1446,413.0,Macedon Ranges (S),144.58413,-37.40479
Government,1.0,427.0,Mount Clear Primary School,Primary,O,1206 Geelong Road,,Mount Clear,VIC,3350.0,1206 Geelong Road,,MOUNT CLEAR,VIC,3350.0,03 5330 1844,57.0,Ballarat (C),143.86837,-37.60474
Government,1.0,430.0,Melton Primary School,Primary,O,Unitt Street,,Melton,VIC,3337.0,P O Box 512,,MELTON,VIC,3337.0,03 9743 5335,465.0,Melton (C),144.58702,-37.68046
Government,1.0,450.0,Fitzroy Primary School,Primary,O,319 George Street,,Fitzroy,VIC,3065.0,PO Box 150,,FITZROY,VIC,3065.0,03 9417 4222,735.0,Yarra (C),144.98151,-37.7996
Government,1.0,452.0,Newstead Primary School,Primary,O,28 Lyons Street,,Newstead,VIC,3462.0,28 Lyons Street,,NEWSTEAD,VIC,3462.0,03 5476 2226,543.0,Mount Alexander (S),144.06719,-37.10592
Government,1.0,453.0,Newlyn Primary School,Primary,O,2701 Midland Highway,,Newlyn,VIC,3364.0,2701 Midland Highway,,NEWLYN,VIC,3364.0,03 5345 7222,291.0,Hepburn (S),143.98443,-37.41202
Government,1.0,454.0,Burwood East Primary School,Primary,O,Cnr Blackburn And Highbury Rds,,Burwood East,VIC,3151.0,P O Box 374,,GLEN WAVERLEY,VIC,3150.0,03 9802 8618,698.0,Whitehorse (C),145.15181,-37.85973
Government,1.0,467.0,New Gisborne Primary School,Primary,O,239 Station Road,,New Gisborne,VIC,3438.0,239 Station Road,,NEW GISBORNE,VIC,3438.0,03 5428 2232,413.0,Macedon Ranges (S),144.59658,-37.46289
Government,1.0,482.0,Beeac Primary School,Primary,O,35 Lang Street,,Beeac,VIC,3251.0,35 Lang Street,,BEEAC,VIC,3251.0,03 5234 6463,175.0,Colac-Otway (S),143.64428,-38.19397
Government,1.0,483.0,Essendon Primary School,Primary,O,38 Raleigh Street,,Essendon,VIC,3040.0,38 Raleigh Street,,ESSENDON,VIC,3040.0,03 9370 7816,506.0,Moonee Valley (C),144.92104,-37.7531
Government,1.0,484.0,Coburg Primary School,Primary,O,92 Bell Street,,Coburg,VIC,3058.0,92 Bell Street,,COBURG,VIC,3058.0,03 9354 9332,525.0,Merri-bek (C),144.96821,-37.7413
Government,1.0,486.0,Penshurst Primary School,Primary,O,87 Ritchie Street,,Penshurst,VIC,3289.0,87 Ritchie Street,,PENSHURST,VIC,3289.0,03 5576 5433,626.0,Southern Grampians (S),142.29133,-37.87918
Government,1.0,487.0,Myrniong Primary School,Primary,O,13 Muddy Lane,,Myrniong,VIC,3341.0,13 Muddy Lane,,MYRNIONG,VIC,3341.0,03 5368 7232,515.0,Moorabool (S),144.34632,-37.61972
Government,1.0,488.0,Mernda Primary School,Primary,O,25 Everton Drive,,Mernda,VIC,3754.0,P O Box 222,,MERNDA,VIC,3754.0,03 9717 7900,707.0,Whittlesea (C),145.09224,-37.5946
Government,1.0,489.0,Portland Primary School,Primary,O,45 Palmer Street,,Portland,VIC,3305.0,PO Box 494,,PORTLAND,VIC,3305.0,03 4505 3333,241.0,Glenelg (S),141.59941,-38.3473
Government,1.0,502.0,Stawell Primary School,Primary,O,14-28 Barnes Street,,Stawell,VIC,3380.0,P O Box 502,,STAWELL,VIC,3380.0,03 5358 1255,581.0,Northern Grampians (S),142.77378,-37.05613
Government,1.0,522.0,Rutherglen Primary School,Primary,O,44 Murray Street,,Rutherglen,VIC,3685.0,P O Box 75,,RUTHERGLEN,VIC,3685.0,02 6032 9428,335.0,Indigo (S),146.46061,-36.05621
Government,1.0,528.0,Riddells Creek Primary School,Primary,O,69-77 Main Road,,Riddells Creek,VIC,3431.0,P O Box 255,,RIDDELLS CREEK,VIC,3431.0,03 5428 7277,413.0,Macedon Ranges (S),144.67978,-37.46122
Government,1.0,531.0,Rokewood Primary School,Primary,O,38 Aitchison Street,,Rokewood,VIC,3330.0,38 AITCHISON Street,,ROKEWOOD,VIC,3330.0,03 5346 1394,249.0,Golden Plains (S),143.72281,-37.90366
Government,1.0,541.0,Geelong East Primary School,Primary,O,184 Boundary Road,,Geelong East,VIC,3219.0,184 Boundary Road,,GEELONG EAST,VIC,3219.0,03 5248 4885,275.0,Greater Geelong (C),144.38277,-38.17551
Government,1.0,545.0,Sale Primary School,Primary,O,Macalister Street,,Sale,VIC,3850.0,P O Box 59,,SALE,VIC,3850.0,03 5144 5545,681.0,Wellington (S),147.07364,-38.1083
Government,1.0,582.0,Skipton Primary School,Primary,O,7 Montgomery Street,,Skipton,VIC,3361.0,Box 61,,SKIPTON,VIC,3361.0,03 5340 2002,183.0,Corangamite (S),143.36816,-37.68686
Government,1.0,583.0,South Yarra Primary School,Primary,O,601 Punt Road,,South Yarra,VIC,3141.0,601 Punt Road,,SOUTH YARRA,VIC,3141.0,03 9866 3424,460.0,Melbourne (C),144.98562,-37.84135
Government,1.0,596.0,Stratford Primary School,Primary,O,14 Wellsford Street,,Stratford,VIC,3862.0,P O Box 84,,STRATFORD,VIC,3862.0,03 5145 6554,681.0,Wellington (S),147.08539,-37.96725
Government,1.0,614.0,Taradale Primary School,Primary,O,98 High Street,,Taradale,VIC,3447.0,98 High Street,,TARADALE,VIC,3447.0,03 5423 2247,543.0,Mount Alexander (S),144.35106,-37.14131
Government,1.0,618.0,Koroit And District Primary School,Primary,O,91 Commercial Road,,Koroit,VIC,3282.0,P O Box 86,,KOROIT,VIC,3282.0,03 5565 8332,549.0,Moyne (S),142.3687,-38.29244
Government,1.0,621.0,Tylden Primary School,Primary,O,11 Clowes Street,,Tylden,VIC,3444.0,11 Clowes Street,,TYLDEN,VIC,3444.0,03 5424 8244,413.0,Macedon Ranges (S),144.40878,-37.32497
Government,1.0,631.0,Thomastown Primary School,Primary,O,10 Spring Street,,Thomastown,VIC,3074.0,10 Spring Street,,THOMASTOWN,VIC,3074.0,03 9465 2225,707.0,Whittlesea (C),145.0115,-37.68227
Government,1.0,643.0,Wangaratta Primary School,Primary,O,19 Chisholm Street,,Wangaratta,VIC,3677.0,P O Box 892,,WANGARATTA,VIC,3676.0,03 5721 2658,670.0,Wangaratta (RC),146.32942,-36.35528
Government,1.0,644.0,Wahgunyah Primary School,Primary,O,Elizabeth Street,,Wahgunyah,VIC,3687.0,Elizabeth Street,,WAHGUNYAH,VIC,3687.0,02 6033 1265,335.0,Indigo (S),146.39792,-36.01365
Government,1.0,647.0,Woodend Primary School,Primary,O,146 High Street,,Woodend,VIC,3442.0,P O Box 318,,WOODEND,VIC,3442.0,03 5427 2455,413.0,Macedon Ranges (S),144.53294,-37.35342
Government,1.0,648.0,Woodford Primary School,Primary,O,8 Victoria Street,,Woodford,VIC,3281.0,8 Victoria Street,,WOODFORD,VIC,3281.0,03 5562 7632,673.0,Warrnambool (C),142.4845,-38.31681
Government,1.0,649.0,Werribee Primary School,Primary,O,2 Deutgam Street,,Werribee,VIC,3030.0,P O Box 432,,WERRIBEE,VIC,3030.0,03 9742 6659,726.0,Wyndham (C),144.65874,-37.90687
Government,1.0,652.0,Winters Flat Primary School,Primary,O,3 Roberts Avenue,,Castlemaine,VIC,3450.0,P O Box 170,,CASTLEMAINE,VIC,3450.0,03 5472 1522,543.0,Mount Alexander (S),144.20749,-37.07016
Government,1.0,653.0,Wooragee Primary School,Primary,O,1011 Beechworth-Wodonga Road,,Wooragee,VIC,3747.0,1011 Beechworth Wodonga Road,,Beechworth,VIC,3747.0,03 5728 7255,335.0,Indigo (S),146.73088,-36.29048
Government,1.0,664.0,Wallan Primary School,Primary,O,46-48 Queen Street,,Wallan,VIC,3756.0,P O Box 74,,WALLAN,VIC,3756.0,03 5783 1232,485.0,Mitchell (S),144.97504,-37.41146
Government,1.0,688.0,Woolsthorpe Primary School,Primary,O,12 Manifold Street,,Woolsthorpe,VIC,3276.0,12 Manifold Street,,WOOLSTHORPE,VIC,3276.0,03 5569 2241,549.0,Moyne (S),142.43176,-38.18741
Government,1.0,691.0,Yandoit Primary School,Primary,O,74 High Street,,Yandoit,VIC,3461.0,74 High Street,,Yandoit,VIC,3461.0,03 5476 4286,291.0,Hepburn (S),144.08844,-37.214
Government,1.0,693.0,Yarram Primary School,Primary,O,2-14 Wesley Street,,Yarram,VIC,3971.0,PO Box 196,,YARRAM,VIC,3971.0,03 5182 5688,681.0,Wellington (S),146.67532,-38.55853
Government,1.0,695.0,Pleasant Street Primary School (Ballarat),Primary,O,101 Pleasant St North,,Lake Wendouree,VIC,3350.0,101 PLEASANT ST NORTH,,LAKE WENDOUREE,VIC,3350.0,03 5332 2598,57.0,Ballarat (C),143.8385,-37.55633
Government,1.0,699.0,Yea Primary School,Primary,O,23 Station Street,,Yea,VIC,3717.0,23 Station Street,,YEA,VIC,3717.0,03 5797 2724,562.0,Murrindindi (S),145.4283,-37.21273
Government,1.0,707.0,Lancefield Primary School,Primary,O,80 High Street,,Lancefield,VIC,3435.0,80 High Street,,LANCEFIELD,VIC,3435.0,03 5429 2307,413.0,Macedon Ranges (S),144.72642,-37.27495
Government,1.0,716.0,Coimadai Primary School,Primary,O,86 Bennetts Lane,,Coimadai,VIC,3340.0,86 Bennetts Lane,,COIMADAI,VIC,3340.0,03 5367 2907,515.0,Moorabool (S),144.47831,-37.61379
Government,1.0,723.0,Birregurra Primary School,Primary,O,58 Beal Street,,Birregurra,VIC,3242.0,58 Beal Street,,BIRREGURRA,VIC,3242.0,03 5236 2222,175.0,Colac-Otway (S),143.78651,-38.34046
Government,1.0,734.0,Clayton North Primary School,Primary,O,1714 Dandenong Road,,Clayton,VIC,3168.0,1714 Dandenong Road,,CLAYTON,VIC,3168.0,03 9544 1522,497.0,Monash (C),145.12267,-37.91194
Government,1.0,737.0,Milawa Primary School,Primary,O,133 Milawa-Bobinawarrah Road,,Milawa,VIC,3678.0,133 Milawa-Bobinawarrah Road,,MILAWA,VIC,3678.0,03 5727 3243,670.0,Wangaratta (RC),146.43248,-36.44454
Government,1.0,744.0,Lockwood Primary School,Primary,O,190 Wiegards Road,,Lockwood,VIC,3551.0,190 Wiegards Road,,LOCKWOOD,VIC,3551.0,03 5435 3224,262.0,Greater Bendigo (C),144.16156,-36.80258
Government,1.0,749.0,Bealiba Primary School,Primary,O,9 Grant Street,,Bealiba,VIC,3475.0,9 Grant St,,BEALIBA,VIC,3475.0,03 5469 1256,167.0,Central Goldfields (S),143.5519,-36.78994
Government,1.0,754.0,Bairnsdale Primary School,Primary,O,324 Main Street,,Bairnsdale,VIC,3875.0,PO Box 679,,BAIRNSDALE,VIC,3875.0,03 5152 4395,211.0,East Gippsland (S),147.62323,-37.82742
Government,1.0,755.0,Gordon Primary School,Primary,O,1 Dicker Street,,Gordon,VIC,3345.0,1 Dicker Street,,GORDON,VIC,3345.0,03 5368 9223,515.0,Moorabool (S),144.10505,-37.58385
Government,1.0,767.0,Hepburn Primary School,Primary,O,156 Main Road,,Hepburn,VIC,3461.0,156 Main Road,,HEPBURN,VIC,3461.0,03 5348 2531,291.0,Hepburn (S),144.13276,-37.30972
Government,1.0,769.0,Lara Lake Primary School,Primary,O,89 Forest Road South,,Lara Lake,VIC,3212.0,P O Box 132,,LARA LAKE,VIC,3212.0,03 5282 1261,275.0,Greater Geelong (C),144.39564,-38.0304
Government,1.0,770.0,Rosedale Primary School,Primary,O,1-23 Cricket Street,,Rosedale,VIC,3847.0,P O Box 182,,ROSEDALE,VIC,3847.0,03 5199 2473,681.0,Wellington (S),146.7739,-38.1546
Government,1.0,776.0,Bright P-12 College,Pri/Sec,O,46 Bakers Gully Road,,Bright,VIC,3741.0,P O Box 30,,BRIGHT,VIC,3741.0,03 5755 1166,11.0,Alpine (S),146.96093,-36.7331
Government,1.0,795.0,Rochester Primary School,Primary,O,2 George Street,,Rochester,VIC,3561.0,P O Box 142,,ROCHESTER,VIC,3561.0,03 5484 1072,137.0,Campaspe (S),144.698,-36.3546
Government,1.0,800.0,Ararat Primary School,Primary,O,70 - 78 Moore Street,,Ararat,VIC,3377.0,P O Box 225,,ARARAT,VIC,3377.0,03 5352 1253,26.0,Ararat (RC),142.93731,-37.28594
Government,1.0,814.0,Jamieson Primary School,Primary,O,1 The Sideling,,Jamieson,VIC,3723.0,P O Box 21,,JAMIESON,VIC,3723.0,03 5777 0535,425.0,Mansfield (S),146.14,-37.30126
Government,1.0,824.0,Preston South Primary School,Primary,O,56B Hotham Street,,Preston,VIC,3072.0,PO Box 1527,,PRESTON,VIC,3072.0,03 9484 1544,189.0,Darebin (C),145.00745,-37.74787
Government,1.0,831.0,Omeo Primary School,Primary,O,167 Day Avenue,,Omeo,VIC,3898.0,P O Box 40,,OMEO,VIC,3898.0,03 5159 1313,211.0,East Gippsland (S),147.59308,-37.10022
Government,1.0,843.0,Harrietville Primary School,Primary,O,165 Great Alpine Road,,Harrietville,VIC,3741.0,165 Great Alpine Road,,HARRIETVILLE,VIC,3741.0,03 5759 2533,11.0,Alpine (S),147.06494,-36.88771
Government,1.0,846.0,Mordialloc Beach Primary School,Primary,O,58 Barkly Street,,Mordialloc,VIC,3195.0,58 Barkly Street,,Mordialloc,VIC,3195.0,03 9580 1468,343.0,Kingston (C),145.08881,-38.00558
Government,1.0,849.0,Healesville Primary School,Primary,O,2 View Street,,Healesville,VIC,3777.0,P O Box 222,,HEALESVILLE,VIC,3777.0,03 5962 4053,745.0,Yarra Ranges (S),145.51604,-37.65713
Government,1.0,854.0,Lake Bolac College,Pri/Sec,O,90 Montgomery Street,,Lake Bolac,VIC,3351.0,90 Montgomery Street,,LAKE BOLAC,VIC,3351.0,03 5350 2302,26.0,Ararat (RC),142.8379,-37.72024
Government,1.0,856.0,Toongabbie Primary School,Primary,O,Victoria Street,,Toongabbie,VIC,3856.0,Victoria Street,,TOONGABBIE,VIC,3856.0,03 5192 4384,381.0,Latrobe (C),146.62518,-38.05697
Government,1.0,859.0,Waubra Primary School,Primary,O,2110 Sunraysia Highway,,Waubra,VIC,3352.0,2110 Sunraysia Highway,,WAUBRA,VIC,3352.0,03 5343 5358,599.0,Pyrenees (S),143.63446,-37.35384
Government,1.0,860.0,Great Western Primary School,Primary,O,Stephenson Street,,Great Western,VIC,3374.0,Stephenson Street,,GREAT WESTERN,VIC,3374.0,03 5356 2235,581.0,Northern Grampians (S),142.85173,-37.14851
Government,1.0,861.0,Maffra Primary School,Primary,O,22-28 Church Street,,Maffra,VIC,3860.0,P O Box 160,,MAFFRA,VIC,3860.0,03 5147 1236,681.0,Wellington (S),146.97677,-37.964
Government,1.0,862.0,Broken Creek Primary School,Primary,O,413 Quinn Road,,Broken Creek,VIC,3673.0,413 Quinn Road,,Broken Creek,VIC,3673.0,03 5764 1253,101.0,Benalla (RC),145.88923,-36.42328
Government,1.0,863.0,Lal Lal Primary School,Primary,O,12 Vaughan Street,,Lal Lal,VIC,3352.0,12 Vaughan Street,,LAL LAL,VIC,3352.0,03 5341 7580,515.0,Moorabool (S),144.01071,-37.67672
Government,1.0,864.0,Cobden Primary School,Primary,O,18 Silvester Street,,Cobden,VIC,3266.0,18 Silvester Street,,COBDEN,VIC,3266.0,03 5595 1087,183.0,Corangamite (S),143.07812,-38.32712
Government,1.0,866.0,St Leonards Primary School,Primary,O,1341 Murradoc Road,,St Leonards,VIC,3223.0,1341 Murradoc Road,,ST LEONARDS,VIC,3223.0,03 5257 1460,275.0,Greater Geelong (C),144.71475,-38.17184
Government,1.0,876.0,Lilydale Primary School,Primary,O,63 - 65 Castella Street,,Lilydale,VIC,3140.0,63 - 65 Castella Street,,Lilydale,VIC,3140.0,03 9735 1642,745.0,Yarra Ranges (S),145.35407,-37.75367
Government,1.0,877.0,Bendigo Primary School,Primary,O,91 Old Violet Street,,Bendigo,VIC,3550.0,P O Box 316,,BENDIGO,VIC,3552.0,03 5443 6411,262.0,Greater Bendigo (C),144.26524,-36.75702
Government,1.0,878.0,Darraweit Guim Primary School,Primary,O,2 Darraweit Valley Road,,Darraweit Guim,VIC,3756.0,2 Darraweit Valley Road,,DARRAWEIT GUIM,VIC,3756.0,03 5789 1601,413.0,Macedon Ranges (S),144.89357,-37.40103
Government,1.0,880.0,Linton Primary School,Primary,O,28 Adair Street,,Linton,VIC,3360.0,28 Adair Street,,LINTON,VIC,3360.0,03 5344 7341,249.0,Golden Plains (S),143.56131,-37.68407
Government,1.0,882.0,Invermay Primary School,Primary,O,187 Swinglers Road,,Invermay,VIC,3352.0,187 Swinglers Road,,INVERMAY,VIC,3352.0,03 5332 6396,57.0,Ballarat (C),143.87458,-37.52053
Government,1.0,887.0,Mitta Mitta Primary School,Primary,O,27 Giltrap Road,,Mitta Mitta,VIC,3701.0,27 Giltrap Road,,MITTA MITTA,VIC,3701.0,02 6072 3570,667.0,Towong (S),147.37948,-36.53341
